"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Location - features/specifications/marcadores/marcadores_tests.feature:8","3","bananas e tomates","","2026-03-20","passed","2026-03-20","","Feature de Filtro por Marcador.","marcadores_tests",""
"Location - features/specifications/marcadores/marcadores_tests.feature:24","1","the quick brown fox","","2026-03-20","passed","2026-03-20","","Feature de Filtro por Marcador.","marcadores_tests",""
"Location - features/specifications/estabelecimento/estabelecimento_tests.feature:8","966","consultas no portal VR","","2026-03-20","passed","2026-03-20","","Feature de Estabelecimento.","estabelecimento_tests",""
"Location - features/specifications/marcadores/marcadores_tests.feature:16","1","o rato roeu a roupa","","2026-03-20","passed","2026-03-20","","Feature de Filtro por Marcador.","marcadores_tests",""
"Location - features/specifications/estabelecimento/estabelecimento_tests.feature:20","181","teste negativo acesso negado ao end point de comum","","2026-03-20","passed","2026-03-20","","Feature de Estabelecimento.","estabelecimento_tests",""
"Location - features/specifications/estabelecimento/estabelecimento_tests.feature:14","311","consulta o primeiro estabelecimento no portal VR","","2026-03-20","passed","2026-03-20","","Feature de Estabelecimento.","estabelecimento_tests",""
